CP001340.1	Genbank	region	1	4042929	.	+	.	ID=CP001340.1:1..4042929;Dbxref=taxon:565050;Is_circular=true;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;strain=NA1000
CP001340.1	Genbank	gene	1	182	.	-	.	ID=gene-CCNA_R0094;Name=ccnA;gbkey=Gene;gene=ccnA;gene_biotype=ncRNA;locus_tag=CCNA_R0094
CP001340.1	Genbank	ncRNA	1	182	.	-	.	ID=rna-CCNA_R0094;Parent=gene-CCNA_R0094;experiment=EXISTENCE:RNA-seq,small RNA regulates the Caulobacter cell cycle according to Beroual%2C et al. Biorxiv. https://doi.org/10.1101/756452;gbkey=ncRNA;gene=ccnA;locus_tag=CCNA_R0094;product=small non-coding RNA ccnA
CP001340.1	Genbank	exon	1	182	.	-	.	ID=exon-CCNA_R0094-1;Parent=rna-CCNA_R0094;experiment=EXISTENCE:RNA-seq,small RNA regulates the Caulobacter cell cycle according to Beroual%2C et al. Biorxiv. https://doi.org/10.1101/756452;gbkey=ncRNA;gene=ccnA;locus_tag=CCNA_R0094;product=small non-coding RNA ccnA
CP001340.1	Genbank	gene	202	1107	.	+	.	ID=gene-CCNA_00001;Name=CCNA_00001;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CCNA_00001
CP001340.1	Genbank	CDS	202	1107	.	+	0	ID=cds-ACL93468.1;Parent=gene-CCNA_00001;Dbxref=NCBI_GP:ACL93468.1;Name=ACL93468.1;Note=CC_0001;experiment=EXISTENCE:LC-MS,EXISTENCE:Ribosome profiling;gbkey=CDS;locus_tag=CCNA_00001;product=pyruvate%2C phosphate dikinase regulatory protein;protein_id=ACL93468.1;transl_table=11
CP001340.1	Genbank	gene	1104	1703	.	+	.	ID=gene-CCNA_00002;Name=CCNA_00002;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CCNA_00002
CP001340.1	Genbank	CDS	1104	1703	.	+	0	ID=cds-ACL93469.1;Parent=gene-CCNA_00002;Dbxref=NCBI_GP:ACL93469.1;Name=ACL93469.1;Note=CC_0002;experiment=EXISTENCE:LC-MS,EXISTENCE:Ribosome profiling,Start codon verified by LC-MS;gbkey=CDS;locus_tag=CCNA_00002;product=Maf-family nucleoside triphosphate pyrophosphatase;protein_id=ACL93469.1;transl_table=11
CP001340.1	Genbank	gene	1700	2557	.	+	.	ID=gene-CCNA_00003;Name=CCNA_00003;experiment=gene is essential according to Tn-seq experiments of Christen%2C et al. (2011) Mol Syst Biol. 30%3B7:528. doi: 10.1038/msb.2011.58;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CCNA_00003
CP001340.1	Genbank	CDS	1700	2557	.	+	0	ID=cds-ACL93470.1;Parent=gene-CCNA_00003;Dbxref=NCBI_GP:ACL93470.1;Name=ACL93470.1;Note=CC_0003;experiment=EXISTENCE:LC-MS,EXISTENCE:Ribosome profiling;gbkey=CDS;locus_tag=CCNA_00003;product=shikimate 5-dehydrogenase;protein_id=ACL93470.1;transl_table=11
CP001340.1	Genbank	gene	2559	3158	.	+	.	ID=gene-CCNA_00004;Name=CCNA_00004;experiment=gene is essential according to Tn-seq experiments of Christen%2C et al. (2011) Mol Syst Biol. 30%3B7:528. doi: 10.1038/msb.2011.58;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CCNA_00004
CP001340.1	Genbank	CDS	2559	3158	.	+	0	ID=cds-ACL93471.1;Parent=gene-CCNA_00004;Dbxref=NCBI_GP:ACL93471.1;Name=ACL93471.1;Note=CC_0004;experiment=EXISTENCE:LC-MS,EXISTENCE:Ribosome profiling;gbkey=CDS;locus_tag=CCNA_00004;product=dephospho-CoA kinase;protein_id=ACL93471.1;transl_table=11
CP001340.1	Genbank	gene	3190	3903	.	+	.	ID=gene-CCNA_00005;Name=dnaQ;experiment=gene is essential according to Tn-seq experiments of Christen%2C et al. (2011) Mol Syst Biol. 30%3B7:528. doi: 10.1038/msb.2011.58;gbkey=Gene;gene=dnaQ;gene_biotype=protein_coding;locus_tag=CCNA_00005
CP001340.1	Genbank	CDS	3190	3903	.	+	0	ID=cds-ACL93472.1;Parent=gene-CCNA_00005;Dbxref=NCBI_GP:ACL93472.1;Name=ACL93472.1;Note=CC_0005;experiment=EXISTENCE:LC-MS,EXISTENCE:Ribosome profiling;gbkey=CDS;gene=dnaQ;locus_tag=CCNA_00005;product=DNA polymerase III%2C epsilon chain;protein_id=ACL93472.1;transl_table=11
CP001340.1	Genbank	gene	4022	4810	.	+	.	ID=gene-CCNA_00006;Name=CCNA_00006;gbkey=Gene;gene_biotype=protein_coding;locus_tag=CCNA_00006
